date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:04:24	302/302	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2021%20Nov%202023%2002:04:23%20GMT	http://localhost/robots.txt		(from )
23:04:26	73713/73713	---MC-	200	added ('OK')	text/html	date:Tue,%2021%20Nov%202023%2002:04:24%20GMT	http://localhost/site1/wordpress/landing-page/	C:/Filippi/CODE/GIT/portfolio-wp/site1/localhost/site1/wordpress/landing-page/index.html	(from )
23:04:26	2859/2859	---M--	200	added ('OK')	text/css	etag:%22b2b-60a3b86d58a5f%22	http://localhost/site1/wordpress/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.8.2	C:/Filippi/CODE/GIT/portfolio-wp/site1/localhost/site1/wordpress/wp-content/plugins/contact-form-7/includes/css/styles080f.css	(from http://localhost/site1/wordpress/landing-page/)
23:04:26	37707/37707	---M--	200	added ('OK')	text/css	etag:%22934b-60a9f472845e9%22	http://localhost/site1/wordpress/wp-content/plugins/v-form/assets/css/style.css?ver=6.4.1	C:/Filippi/CODE/GIT/portfolio-wp/site1/localhost/site1/wordpress/wp-content/plugins/v-form/assets/css/styleaec2.css	(from http://localhost/site1/wordpress/landing-page/)
23:04:26	59344/59344	---M--	200	added ('OK')	text/css	etag:%22e7d0-60a359e00b4ab%22	http://localhost/site1/wordpress/wp-content/themes/oceanwp/assets/fonts/fontawesome/css/all.min.css?ver=5.15.1	C:/Filippi/CODE/GIT/portfolio-wp/site1/localhost/site1/wordpress/wp-content/themes/oceanwp/assets/fonts/fontawesome/css/all.min9e0b.css	(from http://localhost/site1/wordpress/landing-page/)
23:04:28	10927/10927	---M--	200	added ('OK')	text/css	etag:%222aaf-60a359e003828%22	http://localhost/site1/wordpress/wp-content/themes/oceanwp/assets/css/third/simple-line-icons.min.css?ver=2.4.0	C:/Filippi/CODE/GIT/portfolio-wp/site1/localhost/site1/wordpress/wp-content/themes/oceanwp/assets/css/third/simple-line-icons.min8d5a.css	(from http://localhost/site1/wordpress/landing-page/)
23:04:28	178437/178437	---M--	200	added ('OK')	text/css	etag:%222b905-60a359dff38dd%22	http://localhost/site1/wordpress/wp-content/themes/oceanwp/assets/css/style.min.css?ver=3.5.1	C:/Filippi/CODE/GIT/portfolio-wp/site1/localhost/site1/wordpress/wp-content/themes/oceanwp/assets/css/style.min9d52.css	(from http://localhost/site1/wordpress/landing-page/)
23:04:30	32564/32564	---M--	200	added ('OK')	text/css	etag:%227f34-60a9fd4488f04%22	http://localhost/site1/wordpress/wp-content/plugins/wp-whatsapp-chat/build/frontend/css/style.css?ver=7.1.8	C:/Filippi/CODE/GIT/portfolio-wp/site1/localhost/site1/wordpress/wp-content/plugins/wp-whatsapp-chat/build/frontend/css/styleb4a0.css	(from http://localhost/site1/wordpress/landing-page/)
23:04:31	19533/19533	---M--	200	added ('OK')	text/css	etag:%224c4d-609f769f78d2f%22	http://localhost/site1/wordpress/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.23.0	C:/Filippi/CODE/GIT/portfolio-wp/site1/localhost/site1/wordpress/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min192d.css	(from http://localhost/site1/wordpress/landing-page/)
23:04:32	117332/117332	---M--	200	added ('OK')	text/css	etag:%221ca54-609f769ee94fb%22	http://localhost/site1/wordpress/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.17.3	C:/Filippi/CODE/GIT/portfolio-wp/site1/localhost/site1/wordpress/wp-content/plugins/elementor/assets/css/frontend-lite.min8864.css	(from http://localhost/site1/wordpress/landing-page/)
